deltaTime(s) 	 Time(s) 	 Roll(rad) 	 Pitch(rad) 	 Yaw(rad) 	 RollSpeed(rad/s) 	 PitchSpeed(rad/s) 	 YawSpeed(rad/s) 
0.04743671 	 0.04743671 	 0.00827555 	  0.00857395 	  2.68508005 	  -0.00093641 	  0.00224560 	  0.00058989 
0.18314481 	 0.23058152 	 0.00826531 	  0.00857455 	  2.68500781 	  0.00313620 	  0.00096793 	  0.00097388 
0.37799525 	 0.60857677 	 0.00826029 	  0.00859226 	  2.68501806 	  -0.00032669 	  -0.00121413 	  0.00027892 
0.37165880 	 0.98023558 	 0.00824117 	  0.00860733 	  2.68503404 	  -0.00098285 	  -0.00156345 	  0.00027882 
0.35079026 	 1.33102584 	 0.00818921 	  0.00866094 	  2.68504381 	  -0.00062581 	  0.00026371 	  0.00067489 
0.35597992 	 1.68700576 	 0.00816267 	  0.00861682 	  2.68502331 	  0.00056808 	  0.00023830 	  0.00071342 
0.30577278 	 1.99277854 	 0.00817764 	  0.00865500 	  2.68499637 	  0.00071867 	  -0.00014317 	  0.00039574 
0.30558348 	 2.29836202 	 0.00818003 	  0.00859238 	  2.68496203 	  -0.00003664 	  -0.00006118 	  0.00062722 
0.37768674 	 2.67604876 	 0.00811355 	  0.00855960 	  2.68496037 	  -0.00050101 	  0.00037364 	  0.00142600 
0.37640882 	 3.05245757 	 0.00803824 	  0.00859675 	  2.68494248 	  0.00042945 	  0.00028468 	  0.00030501 
0.32620215 	 3.37865973 	 0.00803430 	  0.00860295 	  2.68490839 	  -0.00064981 	  -0.00008205 	  0.00146873 
0.26552701 	 3.64418674 	 0.00799985 	  0.00858044 	  2.68484783 	  -0.00008331 	  -0.00042431 	  0.00085569 
0.28005028 	 3.92423701 	 0.00798127 	  0.00855857 	  2.68478322 	  -0.00082843 	  -0.00010160 	  0.00033571 
0.32088232 	 4.24511933 	 0.00804014 	  0.00859922 	  2.68472099 	  0.00013358 	  -0.00082632 	  0.00037207 
0.29055381 	 4.53567314 	 0.00799910 	  0.00867798 	  2.68466067 	  -0.00062416 	  0.00043270 	  -0.00103634 
0.36178303 	 4.89745617 	 0.00800871 	  0.00869349 	  2.68467736 	  -0.00068238 	  0.00011285 	  -0.00040968 
0.31536722 	 5.21282339 	 0.00800588 	  0.00871550 	  2.68453526 	  0.00071098 	  -0.00107125 	  0.00097045 
0.31037545 	 5.52319884 	 0.00805280 	  0.00871755 	  2.68457055 	  0.00016058 	  -0.00164182 	  0.00206605 
0.37680197 	 5.90000081 	 0.00803196 	  0.00870782 	  2.68452644 	  -0.00026352 	  0.00148915 	  -0.00155911 
0.30548453 	 6.20548534 	 0.00801887 	  0.00872576 	  2.68451309 	  -0.00127068 	  -0.00157895 	  0.00556655 
0.35141349 	 6.55689883 	 0.00798890 	  0.00872912 	  2.68438840 	  -0.00157258 	  -0.00082692 	  0.00027861 
