deltaTime(s);Time(s);Roll(rad);Pitch(rad);Yaw(rad);RollSpeed(rad/s);PitchSpeed(rad/s);YawSpeed(rad/s) 
0.18493271;0.18493271;-0.00492412;0.00494440;-0.03242293;-0.00015040;-0.00037491;-0.00569705 
0.23850751;0.42344022;-0.00493282;0.00487021;-0.03226361;0.00020339;-0.00089803;0.00317315 
0.24497223;0.66841245;-0.00494952;0.00489138;-0.03212611;0.00045924;0.00107657;0.00065913 
0.25016642;0.91857886;-0.00497323;0.00478633;-0.03217914;-0.00099321;-0.00158798;-0.00602983 
0.27494383;1.19352269;-0.00494762;0.00470480;-0.03194386;0.00065716;-0.00124042;0.00288063 
0.22991228;1.42343497;-0.00492839;0.00466477;-0.03186323;0.00022498;-0.00365393;0.00441598 
0.23982906;1.66326404;-0.00487717;0.00471311;-0.03174519;0.00023701;0.00105823;0.00364209 
0.26023817;1.92350221;-0.00487668;0.00456332;-0.03181786;0.00018591;-0.00319818;-0.00324210 
0.27075553;2.19425774;-0.00485918;0.00452814;-0.03171347;0.00040709;-0.00047148;0.00531400 
0.22430515;2.41856289;-0.00485224;0.00450686;-0.03166961;0.00060058;0.00050575;0.00210097 
0.24624372;2.66480660;-0.00484047;0.00447592;-0.03154888;0.00007597;0.00092052;0.00147061 
0.25162363;2.91643023;-0.00480696;0.00432945;-0.03154702;-0.00022564;-0.00144835;-0.00487722 
0.25112367;3.16755390;-0.00476792;0.00431720;-0.03136567;0.00012076;-0.00045943;0.00330537 
0.26107860;3.42863250;-0.00481481;0.00430419;-0.03128715;0.00012551;0.00048103;-0.00110707 
0.23867512;3.66730762;-0.00483006;0.00421215;-0.03120001;-0.00041461;-0.00009467;0.00117485 
0.27674866;3.94405627;-0.00481622;0.00413785;-0.03111289;0.00052421;-0.00292686;0.00017558 
0.43625736;4.38031363;-0.00484990;0.00413531;-0.03097481;-0.00014309;-0.00207112;0.00346703 
0.31644440;4.69675803;-0.00486296;0.00416569;-0.03079869;-0.00118314;0.00298161;0.00743993 
0.31163287;5.00839090;-0.00489202;0.00407548;-0.03086540;0.00088984;-0.00284819;-0.00579058 
0.39536190;5.40375280;-0.00490948;0.00408075;-0.03068416;-0.00058260;-0.00167289;0.00280932 
0.38501453;5.78876734;-0.00485087;0.00407024;-0.03046664;0.00012887;0.00021298;0.00301575 
0.35955644;6.14832377;-0.00488778;0.00405238;-0.03035625;0.00008299;-0.00379912;-0.00098883 
0.40121555;6.54953933;-0.00488639;0.00406415;-0.03014668;-0.00101058;-0.00079515;0.00895777 
0.21957064;6.76910996;-0.00489793;0.00414277;-0.03013788;0.00088533;0.00058703;-0.00007064 
0.28593969;7.05504966;-0.00493087;0.00410839;-0.03002810;-0.00061805;-0.00139577;-0.00192523 
0.45015645;7.50520611;-0.00496072;0.00409418;-0.02978845;-0.00102797;-0.00064164;0.00417673 
0.62976432;8.13497043;-0.00493408;0.00411328;-0.02971967;-0.00010457;-0.00011651;0.00254618 
0.06095815;8.19592857;-0.00489462;0.00407925;-0.02965748;-0.00029791;-0.00164642;0.00186022 
0.00466442;8.20059299;-0.00486858;0.00412063;-0.02948963;0.00056776;-0.00087157;0.00357216 
0.00450945;8.20510244;-0.00486307;0.00409594;-0.02931585;-0.00009148;-0.00165814;0.00270899 
0.00476646;8.20986891;-0.00487537;0.00410936;-0.02925849;-0.00055141;-0.00116666;0.00333469 
0.00451231;8.21438122;-0.00490783;0.00408518;-0.02915888;-0.00087902;0.00040315;0.00300308 
0.00464964;8.21903086;-0.00491323;0.00406164;-0.02898466;-0.00011993;-0.00102337;0.00171577 
0.19441724;8.41344810;-0.00485344;0.00404869;-0.02893445;0.00029671;-0.00276333;-0.00053970 
0.25460267;8.66805077;-0.00486449;0.00404124;-0.02890593;0.00045574;-0.00070385;0.00107371 
0.24695134;8.91500211;-0.00481502;0.00402765;-0.02874828;0.00057798;0.00028989;0.00387432 
0.25256681;9.16756892;-0.00478746;0.00402610;-0.02876254;0.00046455;-0.00090769;0.00040128 
0.26062894;9.42819786;-0.00481328;0.00400208;-0.02859480;-0.00028904;0.00004403;0.00107792 
0.24708128;9.67527914;-0.00478769;0.00404155;-0.02865197;-0.00027054;-0.00051015;0.00053542 
0.23725033;9.91252947;-0.00478076;0.00403628;-0.02860451;-0.00007444;-0.00039947;0.00017646 
0.25526905;10.16779852;-0.00478321;0.00409543;-0.02845721;0.00007247;-0.00095086;0.00020216 
0.24470186;10.41250038;-0.00481536;0.00411562;-0.02834668;-0.00008687;-0.00114548;-0.00092037 
0.26537585;10.67787623;-0.00485886;0.00413942;-0.02831091;-0.00057589;0.00020571;0.00096151 
0.23789763;10.91577387;-0.00484671;0.00414008;-0.02830394;0.00050420;0.00004799;-0.00013842 
0.26210499;11.17787886;-0.00489736;0.00408149;-0.02815878;0.00069757;-0.00158693;-0.00080211 
0.23502946;11.41290832;-0.00488218;0.00408745;-0.02803867;-0.00033935;0.00022946;0.00124011 
0.25162315;11.66453147;-0.00488861;0.00415971;-0.02801574;-0.00092609;0.00052018;0.00232022 
0.24867797;11.91320944;-0.00490949;0.00420925;-0.02796598;-0.00132597;-0.00078816;0.00322152 
0.24916935;12.16237879;-0.00490514;0.00421398;-0.02780708;0.00008109;-0.00014868;0.00099807 
0.25007892;12.41245770;-0.00492542;0.00420404;-0.02765148;-0.00080463;-0.00038617;-0.00230833 
0.25262904;12.66508675;-0.00494005;0.00425705;-0.02757314;-0.00028977;-0.00028840;0.00312579 
0.24740863;12.91249537;-0.00496349;0.00427510;-0.02754495;0.00079431;-0.00016027;0.00039754 
0.24980783;13.16230321;-0.00502580;0.00429367;-0.02755165;-0.00014135;-0.00057806;-0.00026385 
0.25021982;13.41252303;-0.00505392;0.00427066;-0.02746969;-0.00000843;-0.00007421;0.00301094 
0.24996257;13.66248560;-0.00509818;0.00428337;-0.02744538;-0.00030407;-0.00014386;-0.00012339 
0.25364161;13.91612720;-0.00509873;0.00427221;-0.02743765;-0.00014201;-0.00095339;-0.00015429 
0.24625015;14.16237736;-0.00515021;0.00430385;-0.02734634;-0.00125056;0.00042172;0.00387416 
0.25487733;14.41725469;-0.00514884;0.00423309;-0.02736945;0.00053363;0.00040104;-0.00735741 
0.27051568;14.68777037;-0.00518216;0.00425472;-0.02716337;-0.00088215;-0.00059505;0.00058061 
0.23464704;14.92241740;-0.00518561;0.00428205;-0.02717981;0.00009574;-0.00166700;-0.00284854 
0.24024892;15.16266632;-0.00521585;0.00428959;-0.02702177;-0.00086833;-0.00052271;0.00595654 
0.24961829;15.41228461;-0.00527473;0.00425334;-0.02691204;0.00010070;-0.00080927;0.00252065 
0.27272344;15.68500805;-0.00533710;0.00435429;-0.02684905;-0.00049870;0.00230660;-0.00210516 
0.24272990;15.92773795;-0.00534944;0.00431136;-0.02677472;-0.00024573;-0.00099233;-0.00420090 
0.25001049;16.17774844;-0.00539078;0.00429103;-0.02655948;0.00009439;-0.00168595;0.00285533 
0.23516607;16.41291451;-0.00541999;0.00436249;-0.02639897;-0.00079607;-0.00031048;0.00186198 
0.24913669;16.66205120;-0.00538863;0.00434878;-0.02631879;0.00041917;-0.00069737;0.00162839 
0.25503159;16.91708279;-0.00540506;0.00434605;-0.02623479;-0.00038718;-0.00107436;0.00246122 
0.24531174;17.16239452;-0.00539082;0.00430589;-0.02610746;0.00022136;-0.00070315;0.00159868 
0.25200844;17.41440296;-0.00534568;0.00433403;-0.02584988;0.00076085;-0.00064953;0.00164528 
0.24754667;17.66194963;-0.00534647;0.00430268;-0.02579074;-0.00026799;-0.00154632;0.00130277 
0.25051737;17.91246700;-0.00528640;0.00427901;-0.02571015;-0.00021285;0.00016021;-0.00009516 
0.26217222;18.17463923;-0.00529775;0.00422387;-0.02556571;0.00009353;-0.00104236;-0.00153567 
0.24255061;18.41718984;-0.00526528;0.00418629;-0.02531815;0.00078790;-0.00044667;0.00159715 
0.24483943;18.66202927;-0.00526096;0.00416559;-0.02520265;-0.00061300;-0.00094937;0.00157600 
0.26520824;18.92723751;-0.00520731;0.00416033;-0.02514951;0.00066747;0.00014158;0.00090205 
0.23470473;19.16194224;-0.00520879;0.00414894;-0.02506081;-0.00103378;0.00055685;0.00264392 
0.26019764;19.42213988;-0.00519124;0.00412469;-0.02487800;0.00028189;-0.00197527;-0.00035017 
0.26034307;19.68248296;-0.00520076;0.00418702;-0.02469498;0.00064729;-0.00121287;0.00191332 
0.40260315;20.08508611;-0.00518895;0.00409697;-0.02456216;-0.00078931;-0.00120873;0.00288318 
0.16434288;20.24942899;-0.00519519;0.00404022;-0.02438528;0.00002577;-0.00174890;0.00053432 
0.22494388;20.47437286;-0.00520845;0.00405766;-0.02418409;0.00000920;-0.00058929;0.00153319 
0.24585271;20.72022557;-0.00519602;0.00404947;-0.02400287;-0.00037921;-0.00136779;0.00186836 
0.23559546;20.95582104;-0.00517076;0.00404506;-0.02394713;-0.00012491;-0.00137405;0.00181516 
0.23018074;21.18600178;-0.00517706;0.00401446;-0.02375279;-0.00009879;-0.00153807;0.00166514 
0.23518920;21.42119098;-0.00516467;0.00403679;-0.02359427;-0.00061695;-0.00029292;0.00185575 
0.24561334;21.66680431;-0.00510054;0.00402586;-0.02347169;0.00092421;-0.00085399;0.00106374 
0.25010896;21.91691327;-0.00506159;0.00399305;-0.02336261;0.00012970;-0.00022876;0.00105235 
0.24995685;22.16687012;-0.00501949;0.00391125;-0.02326185;0.00056377;-0.00320414;0.00188249 
0.25002623;22.41689634;-0.00498648;0.00392859;-0.02312663;-0.00013219;-0.00049524;0.00571973 
0.24585128;22.66274762;-0.00496646;0.00389853;-0.02302183;0.00105624;-0.00064467;0.00344082 
0.25015497;22.91290259;-0.00499867;0.00390237;-0.02290092;-0.00042789;-0.00043485;0.00097064 
0.26428986;23.17719245;-0.00495765;0.00393462;-0.02277512;-0.00010387;-0.00042400;0.00004083 
0.24134111;23.41853356;-0.00491546;0.00395226;-0.02264751;0.00060833;-0.00073091;-0.00002368 
0.25651336;23.67504692;-0.00495746;0.00397093;-0.02258459;-0.00094841;-0.00126887;0.00138980 
0.24014044;23.91518736;-0.00501842;0.00398742;-0.02252867;-0.00009996;-0.00051380;0.00168141 
0.25008798;24.16527534;-0.00499618;0.00397755;-0.02248953;0.00104515;-0.00085937;0.00022456 
0.25657654;24.42185187;-0.00503759;0.00392102;-0.02236106;-0.00046864;-0.00028852;0.00056933 
0.24056435;24.66241622;-0.00505002;0.00398205;-0.02231339;0.00028108;0.00008784;0.00079782 
0.25953436;24.92195058;-0.00507128;0.00398369;-0.02226901;0.00046906;-0.00264219;-0.00359012 
0.24017668;25.16212726;-0.00502954;0.00403480;-0.02203187;0.00052383;-0.00030069;0.00036555 
0.25455308;25.41668034;-0.00506697;0.00403362;-0.02188555;-0.00079305;-0.00010686;0.00119827 
0.24546671;25.66214705;-0.00507022;0.00406332;-0.02174278;-0.00060086;0.00046478;0.00153126 
0.24996781;25.91211486;-0.00502778;0.00402160;-0.02171227;-0.00043586;-0.00004665;0.00170481 
0.26494765;26.17706251;-0.00511407;0.00406755;-0.02158245;-0.00048582;-0.00091514;0.00155658 
0.24058318;26.41764569;-0.00512503;0.00410822;-0.02147785;-0.00013061;0.00013703;0.00102504 
0.25638247;26.67402816;-0.00516168;0.00408245;-0.02141012;-0.00077800;-0.00067538;0.00068562 
0.24245501;26.91648316;-0.00515093;0.00413613;-0.02135163;-0.00021779;-0.00060432;0.00158768 
0.25549865;27.17198181;-0.00514198;0.00415888;-0.02126713;0.00055435;-0.00030520;0.00124491 
0.24483752;27.41681933;-0.00511570;0.00420664;-0.02115561;-0.00009435;-0.00036594;0.00258857 
0.25309682;27.66991615;-0.00513836;0.00424972;-0.02112655;-0.00083513;-0.00158603;0.00146563 
0.25264478;27.92256093;-0.00512630;0.00435945;-0.02106139;-0.00008875;0.00093066;0.00202733 
0.25664258;28.17920351;-0.00512312;0.00437001;-0.02104180;-0.00038136;-0.00072987;-0.00247932 
0.25344896;28.43265247;-0.00507030;0.00439818;-0.02079341;-0.00017194;-0.00063975;0.00081594 
0.25295234;28.68560481;-0.00507429;0.00443052;-0.02069296;0.00006343;-0.00040231;0.00070495 
0.25361633;28.93922114;-0.00506784;0.00445764;-0.02070997;0.00006879;-0.00083166;0.00162012 
0.25747395;29.19669509;-0.00502572;0.00450055;-0.02061350;-0.00055991;-0.00138880;0.00102281 
0.25445628;29.45115137;-0.00502540;0.00455463;-0.02052248;-0.00061793;0.00027960;0.00144843 
0.25391316;29.70506454;-0.00501809;0.00456479;-0.02047284;-0.00031935;-0.00067797;0.00172442 
0.25360966;29.95867419;-0.00498825;0.00456694;-0.02040558;-0.00024615;-0.00009092;0.00191628 
0.25252318;30.21119738;-0.00501909;0.00454451;-0.02040070;0.00052354;-0.00068720;0.00102709 
0.25995255;30.47114992;-0.00505113;0.00455141;-0.02025667;0.00009761;-0.00067788;0.00294912 
0.25839710;30.72954702;-0.00505235;0.00454111;-0.02021174;0.00058237;-0.00067630;0.00114947 
0.24218893;30.97173595;-0.00502902;0.00451661;-0.02020655;0.00006142;-0.00065673;0.00233448 
0.25230050;31.22403646;-0.00503660;0.00456383;-0.02018070;-0.00013418;-0.00100842;0.00166160 
0.25189495;31.47593141;-0.00496359;0.00463693;-0.02009334;-0.00022054;0.00000474;0.00142675 
0.25577021;31.73170161;-0.00493998;0.00471865;-0.02008803;-0.00009081;0.00051241;0.00137625 
0.25159597;31.98329759;-0.00496698;0.00475467;-0.02013311;-0.00025756;-0.00105060;0.00108092 
0.25409269;32.23739028;-0.00490244;0.00480388;-0.02009432;0.00086963;-0.00009968;0.00128143 
0.25739026;32.49478054;-0.00484935;0.00480945;-0.01999107;-0.00000398;-0.00008713;0.00062428 
