deltaTime(s)	Time(s)	Roll(rad)	Pitch(rad)	Yaw(rad)	RollSpeed(rad/s)	PitchSpeed(rad/s)	YawSpeed(rad/s)	Motor1(PWM)	Motor2(PWM)	Motor3(PWM)	Motor4(PWM)	
0.06416011 	0.06416011	-0.01225895	0.02564603	1.74198842	-0.00043430	0.00002076	-0.00114360	900	900	900	900
0.30058122 	0.36474133	-0.01223339	0.02556071	1.74192035	-0.00014464	-0.00052752	0.00018094	900	900	900	900
0.16227102 	0.52701235	-0.01218924	0.02562401	1.74168456	0.00008073	-0.00003443	0.00057447	900	900	900	900
0.33165359 	0.85866594	-0.01217843	0.02558571	1.74154747	-0.00003593	-0.00025163	0.00020271	900	900	900	900
0.16623378 	1.02489972	-0.01224999	0.02558037	1.74147034	-0.00088735	-0.00077541	-0.00206161	900	900	900	900
0.33526325 	1.36016297	-0.01221719	0.02552589	1.74150074	-0.00065040	-0.00049789	0.00039454	900	900	900	900
0.21135139 	1.57151437	-0.01220375	0.02550699	1.74151051	0.00001378	0.00080294	0.00003432	900	900	900	900
0.19788098 	1.76939535	-0.01224462	0.02545444	1.74150813	-0.00125437	-0.00311168	0.00110446	900	900	900	900
0.25180149 	2.02119684	-0.01218801	0.02544755	1.74161923	-0.00043370	-0.00046095	0.00382272	900	900	900	900
0.24831462 	2.26951146	-0.01216609	0.02544030	1.74163878	0.00071573	-0.00059969	0.00040374	900	900	900	900
0.25178838 	2.52129984	-0.01216859	0.02542081	1.74170947	-0.00071918	-0.00035969	-0.00027349	900	900	900	900
0.29099107 	2.81229091	-0.01217346	0.02541073	1.74169147	0.00069300	0.00029628	0.00003613	900	900	900	900
0.30943203 	3.12172294	-0.01222213	0.02538550	1.74168921	0.00017988	0.00042589	0.00045470	900	900	900	900
0.19115686 	3.31287980	-0.01219725	0.02536437	1.74170506	-0.00027016	-0.00035028	-0.00023098	900	900	900	900
0.22563720 	3.53851700	-0.01221406	0.02535797	1.74174368	0.00019032	0.00039470	-0.00118695	900	900	900	900
0.26314878 	3.80166578	-0.01221780	0.02530950	1.74177933	0.00048858	0.00113732	-0.00115603	900	900	900	900
0.22863007 	4.03029585	-0.01220758	0.02526011	1.74173415	0.00036390	-0.00085188	0.00087745	900	900	900	900
0.24024129 	4.27053714	-0.01226197	0.02523014	1.74149513	0.00020131	-0.00030662	-0.00105386	900	900	900	900
0.25049210 	4.52102923	-0.01231065	0.02519322	1.74125302	-0.00035287	-0.00046973	-0.00174764	900	900	900	900
0.24759889 	4.76862812	-0.01234848	0.02522685	1.74130166	-0.00026494	0.00035120	0.00132131	900	900	900	900
0.26281333 	5.03144145	-0.01233288	0.02520018	1.74133444	-0.00017322	0.00089957	-0.00018413	900	900	900	900
0.29687619 	5.32831764	-0.01238438	0.02524196	1.74134958	0.00019796	0.00070435	-0.00106219	900	900	900	900
0.39102387 	5.71934152	-0.01241600	0.02522106	1.74133027	-0.00055955	0.00016852	-0.00371775	900	900	900	900
0.32161546 	6.04095697	-0.01241055	0.02519132	1.74140096	-0.00092113	-0.00077008	0.00309616	900	900	900	900
0.32414293 	6.36509991	-0.01242215	0.02516899	1.74139845	0.00037197	-0.00012354	0.00092253	900	900	900	900
0.32297111 	6.68807101	-0.01246921	0.02514791	1.74146998	-0.00042296	0.00045301	0.00084444	900	900	900	900
0.21372676 	6.90179777	-0.01248074	0.02516299	1.74144006	-0.00046964	0.00015225	-0.00010824	900	900	900	900
0.26860952 	7.17040730	-0.01250483	0.02519212	1.74151564	-0.00091799	-0.00027120	0.00034379	900	900	900	900
0.18383646 	7.35424376	-0.01246399	0.02517690	1.74153388	-0.00024996	-0.00085005	-0.00002180	900	900	900	900
0.25430560 	7.60854936	-0.01244766	0.02516294	1.74161959	0.00055296	0.00067491	-0.00127702	900	900	900	900
0.30603623 	7.91458559	-0.01245055	0.02514934	1.74167502	-0.00027593	0.00042446	0.00117735	900	900	900	900
0.18318844 	8.09777403	-0.01245145	0.02512676	1.74163735	0.00012325	-0.00050545	0.00193272	900	900	900	900
0.06225014 	8.16002417	-0.01243178	0.02515200	1.74143565	-0.00036080	0.00058621	-0.00081883	900	900	900	900
0.12559319 	8.28561735	-0.01247166	0.02519134	1.74121106	-0.00060358	0.00092962	-0.00001286	900	900	900	900
0.23111677 	8.51673412	-0.01242187	0.02519160	1.74096501	0.00086814	-0.00059960	0.00022991	900	900	900	900
0.30564475 	8.82237887	-0.01246780	0.02520553	1.74090350	0.00026650	-0.00023712	-0.00076467	900	900	900	900
0.22363710 	9.04601598	-0.01248379	0.02516283	1.74098420	-0.00066324	-0.00095572	0.00217454	900	900	900	900
0.32989359 	9.37590957	-0.01252860	0.02515412	1.74094594	-0.00061058	-0.00124327	0.00232589	900	900	900	900
0.29760265 	9.67351222	-0.01256840	0.02510975	1.74096286	-0.00083337	-0.00094694	-0.00054089	900	900	900	900
0.36026883 	10.03378105	-0.01253145	0.02512815	1.74111068	0.00065425	0.00005226	0.00345783	900	900	900	900
0.06440139 	10.09818244	-0.01252896	0.02522836	1.74092102	0.00078925	-0.00035862	-0.00035506	900	900	900	900
0.27140021 	10.36958265	-0.01255824	0.02519687	1.74109709	0.00024176	-0.00122584	0.00125706	900	900	900	900
0.34145212 	10.71103477	-0.01255563	0.02526224	1.74099541	-0.00011750	0.00119340	0.00127398	900	900	900	900
0.32025409 	11.03128886	-0.01263043	0.02518579	1.74106789	-0.00024014	0.00059794	-0.00187503	900	900	900	900
0.11642742 	11.14771628	-0.01259192	0.02529963	1.74105370	-0.00038668	-0.00131301	0.00031937	900	900	900	900
